name,position
Keith Ricardo Bell,Minister of Labour and Immigration
Mario Keith Bowleg,"Minister of Youth, Sports and Culture"
Jomo Chaka Campbell,Minister of State for Legal Affairs
Jobeth Lillian Coleby-Davis,Minister of Transport and Housing
Isaac Chester Cooper,Deputy Prime Minister
Isaac Chester Cooper,"Minister of Tourism, Investment and Aviation"
Michael Ronald Darville,Minister of Health and Wellness
Philip Edward Davis,Prime Minister
Philip Edward Davis,Minister of Finance
Pia Takita Glover-Rolle,Minister of State for the Public Service
Michael Halkitis,Minister of Economic Affairs
Michael Halkitis,Leader of Government Business in the Senate
Glenys Hanna-Martin,Minister of Education and Technical and Vocational Training
Myles Kentworth LaRoda,Minister of State in the Office of the Prime Minister
Zane Enrico Lightbourne,Minister of State in the Ministry of Education and Technical & Vocational Training
Basil Walton McIntosh,Minister of State for the Environment
Vaughn P. Miller,Minister for the Environment and Natural Resources
Frederick Audley Mitchell,Minister of Foreign Affairs and Public Service
Ginger Maria Moxey,Minister for Grand Bahama
Wayne R. Munroe,Minister of National Security
Leo Pinder,Attorney General and Minister of Legal Affairs
Lisa Tammy Rahming,Minister of State in the Ministry of Social Services and Urban Development
Alfred Michael Sears,Minister of Works and Utilities
Clay Glennford Sweeting,"Minister of Agriculture, Marine Resources and Family Island Affairs"
Obediah Hercules Wilchcombe,Minister of Social Services and Urban Development
Obediah Hercules Wilchcombe,Leader of Government Business in the House of Assembly
